#id      posx      posy    estado
705        14         5         1
706        14         6         1
707        14         7         1
708        14         8         1
709        14         9         0
710        14        10         0
711        14        11         0
712        14        12         0
713        14        13         0
714        14        14         1
715        14        15         1
716        14        16         0
717        14        17         0
718        14        18         0
719        14        19         0
720        14        20         0
721        14        21         0
722        14        22         0
723        14        23         0
724        14        24         0
725        14        25         1
726        14        26         1
727        14        27         1
728        14        28         1
729        14        29         1
730        14        30         1
731        14        31         1
732        14        32         1
733        14        33         1
734        14        34         1
735        14        35         1
736        14        36         1
737        14        37         1
738        14        38         1
739        14        39         1
740        14        40         1
741        14        41         1
742        14        42         1
743        14        43         1
744        14        44         1
745        14        45         1
746        14        46         1
747        14        47         1
748        14        48         1
749        14        49         1
750        15         0         1
751        15         1         1
752        15         2         1
753        15         3         1
754        15         4         1
755        15         5         1
756        15         6         1
757        15         7         1
758        15         8         1
759        15         9         0
760        15        10         0
761        15        11         1
762        15        12         0
763        15        13         0
764        15        14         0
765        15        15         0
766        15        16         0
767        15        17         0
768        15        18         0
769        15        19         0
770        15        20         0
771        15        21         0
772        15        22         0
773        15        23         0
774        15        24         0
775        15        25         1
776        15        26         1
777        15        27         1
778        15        28         1
779        15        29         1
780        15        30         1
781        15        31         1
782        15        32         1
783        15        33         1
784        15        34         1
785        15        35         1
786        15        36         1
787        15        37         1
788        15        38         1
789        15        39         1
790        15        40         1
791        15        41         1
792        15        42         1
793        15        43         1
794        15        44         1
795        15        45         1
796        15        46         1
797        15        47         1
798        15        48         1
799        15        49         1
800        16         0         1
801        16         1         1
802        16         2         1
803        16         3         1
804        16         4         1
805        16         5         1
806        16         6         1
807        16         7         1
808        16         8         2
809        16         9         0
810        16        10         0
811        16        11         0
812        16        12         0
813        16        13         0
814        16        14         1
815        16        15         0
816        16        16         0
817        16        17         0
818        16        18         0
819        16        19         0
820        16        20         0
821        16        21         0
822        16        22         0
823        16        23         0
824        16        24         0
825        16        25         1
826        16        26         1
827        16        27         1
828        16        28         1
829        16        29         1
830        16        30         1
831        16        31         1
832        16        32         1
833        16        33         1
834        16        34         1
835        16        35         1
836        16        36         1
837        16        37         1
838        16        38         1
839        16        39         1
840        16        40         1
841        16        41         1
842        16        42         1
843        16        43         1
844        16        44         1
845        16        45         1
846        16        46         1
847        16        47         1
848        16        48         1
849        16        49         1
850        17         0         1
851        17         1         1
852        17         2         1
853        17         3         1
854        17         4         1
855        17         5         1
856        17         6         1
857        17         7         0
858        17         8         0
859        17         9         0
860        17        10         0
861        17        11         0
862        17        12         1
863        17        13         1
864        17        14         1
865        17        15         0
866        17        16         0
867        17        17         0
868        17        18         0
869        17        19         0
870        17        20         0
871        17        21         1
872        17        22         1
873        17        23         0
874        17        24         0
875        17        25         1
876        17        26         1
877        17        27         1
878        17        28         1
879        17        29         1
880        17        30         1
881        17        31         1
882        17        32         1
883        17        33         1
884        17        34         1
885        17        35         1
886        17        36         1
887        17        37         1
888        17        38         1
889        17        39         1
890        17        40         1
891        17        41         1
892        17        42         1
893        17        43         1
894        17        44         1
895        17        45         1
896        17        46         1
897        17        47         1
898        17        48         1
899        17        49         1
900        18         0         1
901        18         1         1
902        18         2         1
903        18         3         1
904        18         4         2
905        18         5         0
906        18         6         0
907        18         7         0
908        18         8         0
909        18         9         0
910        18        10         1
911        18        11         0
912        18        12         0
913        18        13         0
914        18        14         0
915        18        15         0
916        18        16         0
917        18        17         0
918        18        18         0
919        18        19         0
920        18        20         0
921        18        21         0
922        18        22         1
923        18        23         1
924        18        24         0
925        18        25         0
926        18        26         1
927        18        27         1
928        18        28         1
929        18        29         1
930        18        30         1
931        18        31         1
932        18        32         1
933        18        33         1
934        18        34         1
935        18        35         1
936        18        36         1
937        18        37         1
938        18        38         1
939        18        39         1
940        18        40         1
941        18        41         1
942        18        42         1
943        18        43         1
944        18        44         1
945        18        45         1
946        18        46         1
947        18        47         1
948        18        48         1
949        18        49         1
950        19         0         1
951        19         1         1
952        19         2         1
953        19         3         1
954        19         4         1
955        19         5         2
956        19         6         0
957        19         7         0
958        19         8         0
959        19         9         1
960        19        10         1
961        19        11         0
962        19        12         0
963        19        13         0
964        19        14         1
965        19        15         1
966        19        16         0
967        19        17         0
968        19        18         0
969        19        19         0
970        19        20         0
971        19        21         0
972        19        22         1
973        19        23         1
974        19        24         0
975        19        25         0
976        19        26         0
977        19        27         1
978        19        28         1
979        19        29         1
980        19        30         1
981        19        31         1
982        19        32         1
983        19        33         1
984        19        34         1
985        19        35         1
986        19        36         1
987        19        37         1
988        19        38         1
989        19        39         1
990        19        40         1
991        19        41         1
992        19        42         1
993        19        43         1
994        19        44         1
995        19        45         1
996        19        46         1
997        19        47         1
998        19        48         1
999        19        49         1
1000        20         0         1
1001        20         1         1
1002        20         2         1
1003        20         3         1
1004        20         4         1
1005        20         5         1
1006        20         6         2
1007        20         7         1
1008        20         8         1
1009        20         9         1
1010        20        10         1
1011        20        11         0
1012        20        12         0
1013        20        13         0
1014        20        14         1
1015        20        15         1
1016        20        16         0
1017        20        17         0
1018        20        18         0
1019        20        19         0
1020        20        20         0
1021        20        21         0
1022        20        22         1
1023        20        23         1
1024        20        24         0
1025        20        25         0
1026        20        26         0
1027        20        27         1
1028        20        28         1
1029        20        29         1
1030        20        30         1
1031        20        31         1
1032        20        32         1
1033        20        33         1
1034        20        34         1
1035        20        35         1
1036        20        36         1
1037        20        37         1
1038        20        38         1
1039        20        39         1
1040        20        40         1
1041        20        41         1
1042        20        42         1
1043        20        43         1
1044        20        44         1
1045        20        45         1
1046        20        46         1
1047        20        47         1
1048        20        48         1
1049        20        49         1
1050        21         0         1
1051        21         1         1
1052        21         2         1
1053        21         3         1
1054        21         4         1
1055        21         5         1
1056        21         6         1
1057        21         7         1
1058        21         8         1
1059        21         9         1
1060        21        10         1
1061        21        11         1
1062        21        12         0
1063        21        13         0
1064        21        14         0
1065        21        15         0
1066        21        16         0
1067        21        17         0
1068        21        18         1
1069        21        19         0
1070        21        20         0
1071        21        21         0
1072        21        22         0
1073        21        23         0
1074        21        24         0
1075        21        25         0
1076        21        26         0
1077        21        27         0
1078        21        28         1
1079        21        29         1
1080        21        30         1
1081        21        31         1
1082        21        32         1
1083        21        33         1
1084        21        34         1
1085        21        35         1
1086        21        36         1
1087        21        37         1
1088        21        38         1
1089        21        39         1
1090        21        40         1
1091        21        41         1
1092        21        42         1
1093        21        43         1
1094        21        44         1
1095        21        45         1
1096        21        46         1
1097        21        47         1
1098        21        48         1
1099        21        49         1
1100        22         0         1
1101        22         1         1
1102        22         2         1
1103        22         3         1
1104        22         4         1
1105        22         5         1
1106        22         6         1
1107        22         7         1
1108        22         8         1
1109        22         9         1
1110        22        10         1
1111        22        11         1
1112        22        12         0
1113        22        13         0
1114        22        14         0
1115        22        15         1
1116        22        16         0
1117        22        17         0
1118        22        18         0
1119        22        19         0
1120        22        20         0
1121        22        21         0
1122        22        22         0
1123        22        23         0
1124        22        24         0
1125        22        25         0
1126        22        26         0
1127        22        27         0
1128        22        28         1
1129        22        29         1
1130        22        30         1
1131        22        31         1
1132        22        32         1
1133        22        33         1
1134        22        34         1
1135        22        35         1
1136        22        36         1
1137        22        37         1
1138        22        38         1
1139        22        39         1
1140        22        40         1
1141        22        41         1
1142        22        42         1
1143        22        43         1
1144        22        44         1
1145        22        45         1
1146        22        46         1
1147        22        47         1
1148        22        48         1
1149        22        49         1
1150        23         0         1
1151        23         1         1
1152        23         2         1
1153        23         3         1
1154        23         4         1
1155        23         5         1
1156        23         6         1
1157        23         7         1
1158        23         8         1
1159        23         9         1
1160        23        10         1
1161        23        11         0
1162        23        12         0
1163        23        13         0
1164        23        14         0
1165        23        15         0
1166        23        16         0
1167        23        17         0
1168        23        18         0
1169        23        19         0
1170        23        20         0
