#t           SANO     QUEMANDOSE        QUEMADO
470         889585            525         109890
471         889062            523         110415
472         888541            521         110938
473         888005            536         111459
474         887495            510         111995
475         886981            514         112505
476         886464            517         113019
477         885951            513         113536
478         885436            515         114049
479         884929            507         114564
480         884428            501         115071
481         883924            504         115572
482         883418            506         116076
483         882896            522         116582
484         882386            510         117104
485         881856            530         117614
486         881280            576         118144
487         880700            580         118720
488         880122            578         119300
489         879538            584         119878
490         878939            599         120462
491         878321            618         121061
492         877734            587         121679
493         877157            577         122266
494         876580            577         122843
495         876006            574         123420
496         875427            579         123994
497         874850            577         124573
498         874259            591         125150
499         873665            594         125741
500         873054            611         126335
501         872419            635         126946
502         871803            616         127581
503         871176            627         128197
504         870539            637         128824
505         869939            600         129461
506         869339            600         130061
507         868741            598         130661
508         868122            619         131259
509         867511            611         131878
510         866904            607         132489
511         866256            648         133096
512         865574            682         133744
513         864865            709         134426
514         864157            708         135135
515         863465            692         135843
516         862794            671         136535
517         862144            650         137206
518         861468            676         137856
519         860823            645         138532
520         860191            632         139177
521         859514            677         139809
522         858828            686         140486
523         858181            647         141172
524         857533            648         141819
525         856874            659         142467
526         856243            631         143126
527         855637            606         143757
528         855042            595         144363
529         854473            569         144958
530         853880            593         145527
531         853267            613         146120
532         852686            581         146733
533         852090            596         147314
534         851460            630         147910
535         850771            689         148540
536         850101            670         149229
537         849437            664         149899
538         848752            685         150563
539         848045            707         151248
540         847322            723         151955
541         846600            722         152678
542         845865            735         153400
543         845148            717         154135
544         844447            701         154852
545         843760            687         155553
546         843083            677         156240
547         842413            670         156917
548         841750            663         157587
549         841063            687         158250
550         840343            720         158937
551         839632            711         159657
552         838938            694         160368
553         838267            671         161062
554         837601            666         161733
555         836964            637         162399
556         836348            616         163036
557         835714            634         163652
558         835077            637         164286
559         834434            643         164923
560         833785            649         165566
561         833135            650         166215
562         832498            637         166865
563         831867            631         167502
564         831262            605         168133
565         830665            597         168738
566         830068            597         169335
567         829497            571         169932
568         828923            574         170503
569         828352            571         171077
570         827778            574         171648
571         827211            567         172222
572         826609            602         172789
573         826020            589         173391
574         825424            596         173980
575         824833            591         174576
576         824224            609         175167
577         823603            621         175776
578         822954            649         176397
579         822292            662         177046
580         821620            672         177708
581         820954            666         178380
582         820252            702         179046
583         819560            692         179748
584         818888            672         180440
585         818234            654         181112
586         817565            669         181766
587         816896            669         182435
588         816228            668         183104
589         815526            702         183772
590         814815            711         184474
591         814076            739         185185
592         813349            727         185924
593         812637            712         186651
594         811937            700         187363
595         811206            731         188063
596         810482            724         188794
597         809727            755         189518
598         808936            791         190273
599         808167            769         191064
600         807395            772         191833
601         806602            793         192605
602         805825            777         193398
603         805090            735         194175
604         804343            747         194910
605         803590            753         195657
606         802839            751         196410
607         802050            789         197161
608         801277            773         197950
609         800493            784         198723
610         799670            823         199507
611         798862            808         200330
612         798066            796         201138
613         797263            803         201934
614         796429            834         202737
615         795586            843         203571
616         794697            889         204414
617         793834            863         205303
618         792992            842         206166
619         792158            834         207008
620         791322            836         207842
621         790510            812         208678
622         789685            825         209490
623         788834            851         210315
624         787962            872         211166
625         787059            903         212038
626         786182            877         212941
627         785342            840         213818
628         784511            831         214658
629         783721            790         215489
630         782936            785         216279
631         782111            825         217064
632         781265            846         217889
633         780423            842         218735
634         779595            828         219577
635         778782            813         220405
636         777949            833         221218
637         777104            845         222051
638         776274            830         222896
639         775383            891         223726
640         774480            903         224617
641         773579            901         225520
642         772699            880         226421
643         771777            922         227301
644         770864            913         228223
645         769955            909         229136
646         769000            955         230045
647         768051            949         231000
648         767084            967         231949
649         766157            927         232916
650         765269            888         233843
651         764412            857         234731
652         763548            864         235588
653         762705            843         236452
654         761849            856         237295
655         760996            853         238151
656         760118            878         239004
657         759265            853         239882
658         758425            840         240735
659         757578            847         241575
660         756727            851         242422
661         755879            848         243273
662         755011            868         244121
663         754105            906         244989
664         753176            929         245895
665         752236            940         246824
666         751282            954         247764
667         750302            980         248718
668         749346            956         249698
669         748371            975         250654
670         747377            994         251629
671         746422            955         252623
672         745478            944         253578
673         744565            913         254522
674         743654            911         255435
675         742795            859         256346
676         741931            864         257205
677         741053            878         258069
678         740145            908         258947
679         739214            931         259855
680         738285            929         260786
681         737347            938         261715
682         736423            924         262653
683         735493            930         263577
684         734568            925         264507
685         733681            887         265432
686         732793            888         266319
687         731891            902         267207
688         730986            905         268109
689         730096            890         269014
690         729211            885         269904
691         728300            911         270789
692         727395            905         271700
693         726502            893         272605
694         725586            916         273498
695         724667            919         274414
696         723739            928         275333
697         722787            952         276261
698         721856            931         277213
699         720928            928         278144
700         720018            910         279072
701         719082            936         279982
702         718147            935         280918
703         717184            963         281853
704         716201            983         282816
705         715276            925         283799
706         714376            900         284724
707         713495            881         285624
708         712605            890         286505
709         711727            878         287395
710         710831            896         288273
711         709938            893         289169
712         709059            879         290062
713         708186            873         290941
714         707317            869         291814
715         706483            834         292683
716         705672            811         293517
717         704849            823         294328
718         704009            840         295151
719         703167            842         295991
720         702317            850         296833
721         701462            855         297683
722         700591            871         298538
723         699741            850         299409
724         698896            845         300259
725         698056            840         301104
726         697197            859         301944
727         696323            874         302803
728         695473            850         303677
729         694605            868         304527
730         693741            864         305395
731         692847            894         306259
732         691946            901         307153
733         691084            862         308054
734         690205            879         308916
735         689301            904         309795
